"k";"m";"n";"count1";"count2";"count3";"time"
2;100;6622;97509;1276;242;10172
2;100;6622;97509;1276;242;9615
2;100;6622;97509;1276;242;10491
2;100;6622;97509;1276;242;10240
2;100;6622;97509;1276;242;10269
2;100;6622;97509;1276;242;12546
2;100;6622;97509;1276;242;13175
2;100;6622;97509;1276;242;13224
2;100;6622;97509;1276;242;13153
2;100;6622;97509;1276;242;13172
2;1000;6622;97509;12748;2926;14808
2;1000;6622;97509;12748;2926;11577
2;1000;6622;97509;12748;2926;11185
2;1000;6622;97509;12748;2926;11206
2;1000;6622;97509;12748;2926;11323
2;1000;6622;97509;12748;2926;13542
2;1000;6622;97509;12748;2926;14827
2;1000;6622;97509;12748;2926;11226
2;1000;6622;97509;12748;2926;10830
2;1000;6622;97509;12748;2926;16105
2;10000;6622;97509;26323;6356;25764
2;10000;6622;97509;26323;6356;12773
2;10000;6622;97509;26323;6356;12792
2;10000;6622;97509;26323;6356;12700
2;10000;6622;97509;26323;6356;12641
2;10000;6622;97509;26323;6356;13246
2;10000;6622;97509;26323;6356;12224
2;10000;6622;97509;26323;6356;12733
2;10000;6622;97509;26323;6356;13128
2;10000;6622;97509;26323;6356;14572
2;100000;6622;97509;26323;6356;14277
2;100000;6622;97509;26323;6356;12704
2;100000;6622;97509;26323;6356;12664
2;100000;6622;97509;26323;6356;12959
2;100000;6622;97509;26323;6356;12611
2;100000;6622;97509;26323;6356;12673
2;100000;6622;97509;26323;6356;12654
2;100000;6622;97509;26323;6356;12987
2;100000;6622;97509;26323;6356;13298
2;100000;6622;97509;26323;6356;12974
2;1000000;6622;97509;26323;6356;13004
2;1000000;6622;97509;26323;6356;12549
2;1000000;6622;97509;26323;6356;13197
2;1000000;6622;97509;26323;6356;13064
2;1000000;6622;97509;26323;6356;12691
2;1000000;6622;97509;26323;6356;12346
2;1000000;6622;97509;26323;6356;13114
2;1000000;6622;97509;26323;6356;12665
2;1000000;6622;97509;26323;6356;12668
2;1000000;6622;97509;26323;6356;12830
3;100;6622;97565;1276;200;9857
3;100;6622;97565;1276;200;10096
3;100;6622;97565;1276;200;10543
3;100;6622;97565;1276;200;10162
3;100;6622;97565;1276;200;9908
3;100;6622;97565;1276;200;9780
3;100;6622;97565;1276;200;10483
3;100;6622;97565;1276;200;9669
3;100;6622;97565;1276;200;10521
3;100;6622;97565;1276;200;10334
3;1000;6622;97565;12769;2045;11486
3;1000;6622;97565;12769;2045;11072
3;1000;6622;97565;12769;2045;12017
3;1000;6622;97565;12769;2045;11398
3;1000;6622;97565;12769;2045;11627
3;1000;6622;97565;12769;2045;11609
3;1000;6622;97565;12769;2045;11481
3;1000;6622;97565;12769;2045;10789
3;1000;6622;97565;12769;2045;11658
3;1000;6622;97565;12769;2045;11829
3;10000;6622;97565;127592;20798;24394
3;10000;6622;97565;127592;20798;23946
3;10000;6622;97565;127592;20798;24416
3;10000;6622;97565;127592;20798;25128
3;10000;6622;97565;127592;20798;24707
3;10000;6622;97565;127592;20798;25870
3;10000;6622;97565;127592;20798;23918
3;10000;6622;97565;127592;20798;24599
3;10000;6622;97565;127592;20798;24205
3;10000;6622;97565;127592;20798;24622
3;100000;6622;97565;145671;23733;26505
3;100000;6622;97565;145671;23733;26172
3;100000;6622;97565;145671;23733;26437
3;100000;6622;97565;145671;23733;27206
3;100000;6622;97565;145671;23733;26863
3;100000;6622;97565;145671;23733;26430
3;100000;6622;97565;145671;23733;26756
3;100000;6622;97565;145671;23733;41697
3;100000;6622;97565;145671;23733;60448
3;100000;6622;97565;145671;23733;25602
3;1000000;6622;97565;145671;23733;26376
3;1000000;6622;97565;145671;23733;27233
3;1000000;6622;97565;145671;23733;26568
3;1000000;6622;97565;145671;23733;27009
3;1000000;6622;97565;145671;23733;27752
3;1000000;6622;97565;145671;23733;27052
3;1000000;6622;97565;145671;23733;26593
3;1000000;6622;97565;145671;23733;26372
3;1000000;6622;97565;145671;23733;27205
3;1000000;6622;97565;145671;23733;26786
4;100;6622;97744;1276;200;10179
4;100;6622;97744;1276;200;9835
4;100;6622;97744;1276;200;9803
4;100;6622;97744;1276;200;10432
4;100;6622;97744;1276;200;10416
4;100;6622;97744;1276;200;10265
4;100;6622;97744;1276;200;10168
4;100;6622;97744;1276;200;9812
4;100;6622;97744;1276;200;10139
4;100;6622;97744;1276;200;10133
4;1000;6622;97744;12766;2013;12419
4;1000;6622;97744;12766;2013;11710
4;1000;6622;97744;12766;2013;11777
4;1000;6622;97744;12766;2013;12050
4;1000;6622;97744;12766;2013;11689
4;1000;6622;97744;12766;2013;11236
4;1000;6622;97744;12766;2013;11692
4;1000;6622;97744;12766;2013;12259
4;1000;6622;97744;12766;2013;11648
4;1000;6622;97744;12766;2013;12033
4;10000;6622;97744;18325;2889;12562
4;10000;6622;97744;18325;2889;12729
4;10000;6622;97744;18325;2889;12258
