"k";"m";"nword";"count1";"count2";"count3";"clock span"
10;10000;6622;84404;97768;13226;11
10;10000;6622;120713;83350;10953;4
10;10000;6622;120725;83344;10954;4
10;10000;6622;120155;83375;10204;3
10;10000;6622;120155;83579;10205;3
10;10000;6622;120155;83348;10206;3
10;10000;6622;120157;83342;10207;2
10;10000;6622;120154;83194;10208;3
10;10000;6622;120155;83590;10209;3
10;10000;6622;120156;83367;10210;2
20;10000;6622;120153;83361;10211;3
20;10000;6622;120154;83021;10212;3
20;10000;6622;120156;83217;10213;3
20;10000;6622;120153;83002;10214;3
20;10000;6622;120155;82996;10215;4
20;10000;6622;120154;82784;10216;3
20;10000;6622;120157;83332;10217;3
20;10000;6622;120156;83125;10218;4
20;10000;6622;120154;83119;10219;3
20;10000;6622;120006;83050;10027;3
30;10000;6622;120004;83238;10028;3
30;10000;6622;120006;83039;10029;4
30;10000;6622;120006;83033;10030;4
30;10000;6622;120003;82757;10031;3
30;10000;6622;120006;83121;10032;4
30;10000;6622;120006;82930;10033;4
30;10000;6622;120003;82924;10034;3
30;10000;6622;120006;82447;10035;4
30;10000;6622;120006;82627;10036;4
30;10000;6622;120005;82444;10037;3
40;10000;6622;120006;82438;10038;4
40;10000;6622;120006;82242;10039;4
40;10000;6622;120006;83014;10040;4
40;10000;6622;120004;82839;10041;4
40;10000;6622;120006;82833;10042;4
40;10000;6622;120006;82868;10043;4
40;10000;6622;120003;83040;10044;4
40;10000;6622;120006;82873;10045;4
40;10000;6622;120006;82867;10046;4
40;10000;6622;120003;82735;10047;4
50;10000;6622;120006;83067;10048;4
50;10000;6622;120006;82908;10049;5
50;10000;6622;120005;82902;10050;4
50;10000;6622;120006;82564;10051;5
50;10000;6622;120006;82728;10052;5
50;10000;6622;120006;82577;10053;4
50;10000;6622;120004;82571;10054;5
50;10000;6622;120006;82391;10055;5
50;10000;6622;120006;82843;10056;4
50;10000;6622;120003;82700;10057;5
60;10000;6622;120006;82694;10058;5
60;10000;6622;120006;82629;10059;5
60;10000;6622;120003;82785;10060;5
