"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;96739;15670;0.009173
3;100000;6622;97565;43701;7116;0.010608
3;100000;6622;97565;187241;30488;0.009431
3;100000;6622;97565;81121;13213;0.006551
3;100000;6622;97565;12301;1967;0.004217
3;100000;6622;97565;56660;9239;0.005541
3;100000;6622;97565;42866;6950;0.004984
3;100000;6622;97565;140012;22714;0.008092
3;100000;6622;97565;99312;16087;0.006830
3;100000;6622;97565;124539;20285;0.008320
3;100000;6622;97565;24297;3922;0.004619
3;100000;6622;97565;183815;29842;0.009730
3;100000;6622;97565;28566;4587;0.004384
3;100000;6622;97565;124187;20141;0.007520
3;100000;6622;97565;73819;12023;0.005747
3;100000;6622;97565;266033;43180;0.011859
3;100000;6622;97565;49429;8003;0.005299
3;100000;6622;97565;62076;10039;0.005647
3;100000;6622;97565;91564;14863;0.006618
3;100000;6622;97565;78974;12850;0.006430
3;100000;6622;97565;8069;1290;0.003799
3;100000;6622;97565;117668;19113;0.007439
3;100000;6622;97565;72622;11720;0.005838
3;100000;6622;97565;140209;22788;0.008237
3;100000;6622;97565;84724;13736;0.006331
3;100000;6622;97565;211469;34279;0.010301
3;100000;6622;97565;57497;9287;0.007507
3;100000;6622;97565;56163;9088;0.012945
3;100000;6622;97565;217057;35427;0.010437
3;100000;6622;97565;110995;17988;0.007278
3;100000;6622;97565;85791;13952;0.006171
3;100000;6622;97565;341019;55240;0.014182
3;100000;6622;97565;198751;32272;0.009552
3;100000;6622;97565;65630;10624;0.005598
3;100000;6622;97565;9562;1551;0.003942
3;100000;6622;97565;59560;9676;0.005465
3;100000;6622;97565;17644;2826;0.004261
3;100000;6622;97565;24132;3929;0.004225
3;100000;6622;97565;81744;13305;0.006168
3;100000;6622;97565;113337;18414;0.007615
3;100000;6622;97565;45749;7414;0.005405
3;100000;6622;97565;9506;1528;0.004169
3;100000;6622;97565;162146;26391;0.009103
3;100000;6622;97565;101259;16556;0.006614
3;100000;6622;97565;88576;14466;0.006332
3;100000;6622;97565;192405;31229;0.009404
3;100000;6622;97565;105572;17143;0.007151
3;100000;6622;97565;140147;22870;0.008039
3;100000;6622;97565;45616;7396;0.005640
3;100000;6622;97565;76934;12474;0.006177
3;100000;6622;97565;318042;51836;0.013063
3;100000;6622;97565;4851;778;0.004523
3;100000;6622;97565;225682;36631;0.010332
3;100000;6622;97565;139175;22676;0.008092
3;100000;6622;97565;25065;4064;0.004433
3;100000;6622;97565;16820;2696;0.004503
3;100000;6622;97565;11794;1923;0.003995
3;100000;6622;97565;30727;4998;0.004461
3;100000;6622;97565;157363;25587;0.008403
3;100000;6622;97565;203765;33286;0.010500
3;100000;6622;97565;200010;32485;0.009973
3;100000;6622;97565;56837;9268;0.005479
3;100000;6622;97565;27486;4451;0.004870
3;100000;6622;97565;207779;33611;0.010058
3;100000;6622;97565;12413;2020;0.004336
3;100000;6622;97565;77141;12482;0.006278
3;100000;6622;97565;63687;10299;0.005465
3;100000;6622;97565;95760;15538;0.006906
3;100000;6622;97565;24647;3933;0.004401
3;100000;6622;97565;70096;11350;0.005935
3;100000;6622;97565;277684;44951;0.012360
3;100000;6622;97565;33560;5418;0.005015
3;100000;6622;97565;47256;7661;0.005202
3;100000;6622;97565;121269;19671;0.007429
3;100000;6622;97565;119910;19461;0.007453
3;100000;6622;97565;304470;49635;0.013433
3;100000;6622;97565;43510;7084;0.005237
3;100000;6622;97565;173330;28069;0.009121
3;100000;6622;97565;10486;1682;0.004090
3;100000;6622;97565;11122;1802;0.004041
3;100000;6622;97565;24296;3932;0.004572
3;100000;6622;97565;184443;30034;0.009392
3;100000;6622;97565;28978;4692;0.004658
3;100000;6622;97565;9970;1591;0.004053
3;100000;6622;97565;42845;6920;0.005306
3;100000;6622;97565;139949;22762;0.008119
3;100000;6622;97565;140349;22742;0.007800
3;100000;6622;97565;17794;2901;0.004162
3;100000;6622;97565;270345;43948;0.012063
3;100000;6622;97565;132639;21526;0.007506
3;100000;6622;97565;117335;19011;0.007087
3;100000;6622;97565;109477;17800;0.007341
3;100000;6622;97565;44200;7167;0.004970
3;100000;6622;97565;8331;1329;0.004265
3;100000;6622;97565;78490;12762;0.006192
3;100000;6622;97565;262308;42518;0.012042
3;100000;6622;97565;37891;6187;0.004662
3;100000;6622;97565;128262;20798;0.007325
3;100000;6622;97565;22210;3624;0.004649
3;100000;6622;97565;61896;10089;0.005913
