"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;8267;1307;0.005016
3;100000;6622;97565;8267;1307;0.005051
3;100000;6622;97565;8267;1307;0.005056
3;100000;6622;97565;8267;1307;0.005163
3;100000;6622;97565;8267;1307;0.004832
3;100000;6622;97565;8267;1307;0.005625
3;100000;6622;97565;8267;1307;0.005077
3;100000;6622;97565;8267;1307;0.005160
3;100000;6622;97565;8267;1307;0.004997
3;100000;6622;97565;8267;1307;0.005122
3;100000;6622;97565;8267;1307;0.004947
3;100000;6622;97565;8267;1307;0.004912
3;100000;6622;97565;8267;1307;0.004914
3;100000;6622;97565;8267;1307;0.005101
3;100000;6622;97565;8267;1307;0.005206
3;100000;6622;97565;8267;1307;0.005044
3;100000;6622;97565;8267;1307;0.004807
3;100000;6622;97565;8267;1307;0.005002
3;100000;6622;97565;8267;1307;0.005108
3;100000;6622;97565;8267;1307;0.004963
3;100000;6622;97565;8267;1307;0.005136
3;100000;6622;97565;8267;1307;0.005338
3;100000;6622;97565;8267;1307;0.005014
3;100000;6622;97565;8267;1307;0.005250
3;100000;6622;97565;8267;1307;0.004805
3;100000;6622;97565;8267;1307;0.004743
3;100000;6622;97565;8267;1307;0.004827
3;100000;6622;97565;8267;1307;0.005219
3;100000;6622;97565;8267;1307;0.005097
3;100000;6622;97565;8267;1307;0.005061
3;100000;6622;97565;8267;1307;0.005009
3;100000;6622;97565;8267;1307;0.005167
3;100000;6622;97565;8267;1307;0.004953
3;100000;6622;97565;8267;1307;0.005047
3;100000;6622;97565;8267;1307;0.005060
3;100000;6622;97565;8267;1307;0.004969
3;100000;6622;97565;8267;1307;0.005208
3;100000;6622;97565;8267;1307;0.004926
3;100000;6622;97565;8267;1307;0.005000
3;100000;6622;97565;8267;1307;0.005004
3;100000;6622;97565;8267;1307;0.005423
3;100000;6622;97565;8267;1307;0.005008
3;100000;6622;97565;8267;1307;0.005047
3;100000;6622;97565;8267;1307;0.005004
3;100000;6622;97565;8267;1307;0.005045
3;100000;6622;97565;8267;1307;0.005078
3;100000;6622;97565;8267;1307;0.005011
3;100000;6622;97565;8267;1307;0.005221
3;100000;6622;97565;8267;1307;0.005288
3;100000;6622;97565;8267;1307;0.005105
3;100000;6622;97565;8267;1307;0.005274
3;100000;6622;97565;8267;1307;0.005116
3;100000;6622;97565;8267;1307;0.004993
3;100000;6622;97565;8267;1307;0.005004
3;100000;6622;97565;8267;1307;0.005310
3;100000;6622;97565;8267;1307;0.005155
3;100000;6622;97565;8267;1307;0.005048
3;100000;6622;97565;8267;1307;0.005174
3;100000;6622;97565;8267;1307;0.004955
3;100000;6622;97565;8267;1307;0.004746
3;100000;6622;97565;8267;1307;0.004802
3;100000;6622;97565;8267;1307;0.005210
3;100000;6622;97565;8267;1307;0.005079
3;100000;6622;97565;8267;1307;0.005033
3;100000;6622;97565;8267;1307;0.005016
3;100000;6622;97565;8267;1307;0.004836
3;100000;6622;97565;8267;1307;0.005384
3;100000;6622;97565;8267;1307;0.005292
3;100000;6622;97565;8267;1307;0.005566
3;100000;6622;97565;8267;1307;0.006638
3;100000;6622;97565;8267;1307;0.005131
3;100000;6622;97565;8267;1307;0.005011
3;100000;6622;97565;8267;1307;0.005046
3;100000;6622;97565;8267;1307;0.005321
3;100000;6622;97565;8267;1307;0.005304
3;100000;6622;97565;8267;1307;0.005024
3;100000;6622;97565;8267;1307;0.006125
3;100000;6622;97565;8267;1307;0.004998
3;100000;6622;97565;8267;1307;0.005005
3;100000;6622;97565;8267;1307;0.004824
3;100000;6622;97565;8267;1307;0.005533
3;100000;6622;97565;8267;1307;0.005140
3;100000;6622;97565;8267;1307;0.005016
3;100000;6622;97565;8267;1307;0.005003
3;100000;6622;97565;8267;1307;0.004729
3;100000;6622;97565;8267;1307;0.005023
3;100000;6622;97565;8267;1307;0.005095
3;100000;6622;97565;8267;1307;0.005202
3;100000;6622;97565;8267;1307;0.005265
3;100000;6622;97565;8267;1307;0.005014
3;100000;6622;97565;8267;1307;0.005394
3;100000;6622;97565;8267;1307;0.005080
3;100000;6622;97565;8267;1307;0.005231
3;100000;6622;97565;8267;1307;0.004890
3;100000;6622;97565;8267;1307;0.005306
3;100000;6622;97565;8267;1307;0.005028
3;100000;6622;97565;8267;1307;0.005042
3;100000;6622;97565;8267;1307;0.005189
3;100000;6622;97565;8267;1307;0.005001
3;100000;6622;97565;8267;1307;0.004947
