"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;43021;6987;0.006849
3;100000;6622;97565;95634;15547;0.009500
3;100000;6622;97565;6371;1032;0.005178
3;100000;6622;97565;22758;3687;0.005789
3;100000;6622;97565;274038;44498;0.019415
3;100000;6622;97565;10643;1702;0.005314
3;100000;6622;97565;42378;6853;0.006702
3;100000;6622;97565;11829;1894;0.005099
3;100000;6622;97565;222603;36172;0.016341
3;100000;6622;97565;15819;2553;0.005600
3;100000;6622;97565;120050;19565;0.010815
3;100000;6622;97565;88183;14346;0.009037
3;100000;6622;97565;80448;13053;0.008722
3;100000;6622;97565;5568;880;0.004879
3;100000;6622;97565;109525;17757;0.010101
3;100000;6622;97565;125056;20278;0.011086
3;100000;6622;97565;107981;17544;0.010239
3;100000;6622;97565;86043;13962;0.009374
3;100000;6622;97565;7699;1231;0.005053
3;100000;6622;97565;6472;1039;0.004955
3;100000;6622;97565;89740;14536;0.008908
3;100000;6622;97565;5507;895;0.004729
3;100000;6622;97565;39568;6456;0.006790
3;100000;6622;97565;191570;31129;0.014755
3;100000;6622;97565;24233;3960;0.005848
3;100000;6622;97565;83997;13547;0.008969
3;100000;6622;97565;8933;1436;0.005157
3;100000;6622;97565;24533;4032;0.005842
3;100000;6622;97565;68671;11109;0.008128
3;100000;6622;97565;60292;9865;0.007764
3;100000;6622;97565;48197;7800;0.006992
3;100000;6622;97565;30347;4904;0.005860
3;100000;6622;97565;331627;53840;0.021895
3;100000;6622;97565;60934;9806;0.008220
3;100000;6622;97565;36266;5894;0.006537
3;100000;6622;97565;100058;16238;0.009759
3;100000;6622;97565;278415;45297;0.019437
3;100000;6622;97565;57580;9309;0.007782
3;100000;6622;97565;120776;19613;0.010900
3;100000;6622;97565;281259;45630;0.019003
3;100000;6622;97565;194956;31680;0.014486
3;100000;6622;97565;35082;5710;0.006770
3;100000;6622;97565;17939;2886;0.005553
3;100000;6622;97565;18303;2959;0.005811
3;100000;6622;97565;94935;15404;0.009697
3;100000;6622;97565;78610;12738;0.008570
3;100000;6622;97565;56830;9262;0.007613
3;100000;6622;97565;70810;11457;0.008270
3;100000;6622;97565;68585;11234;0.008354
3;100000;6622;97565;77307;12560;0.008801
3;100000;6622;97565;158206;25652;0.014478
3;100000;6622;97565;44277;7186;0.007221
3;100000;6622;97565;26845;4337;0.005999
3;100000;6622;97565;38608;6236;0.006699
3;100000;6622;97565;5568;880;0.004845
3;100000;6622;97565;224958;36623;0.016363
3;100000;6622;97565;140774;22717;0.012284
3;100000;6622;97565;107253;17492;0.010115
3;100000;6622;97565;85638;13908;0.009083
3;100000;6622;97565;40259;6492;0.006743
3;100000;6622;97565;32024;5156;0.006330
3;100000;6622;97565;87872;14222;0.009237
3;100000;6622;97565;72439;11765;0.008390
3;100000;6622;97565;252978;41136;0.017624
3;100000;6622;97565;120949;19596;0.010585
3;100000;6622;97565;77085;12505;0.009232
3;100000;6622;97565;96522;15701;0.009639
3;100000;6622;97565;6872;1089;0.005460
3;100000;6622;97565;94338;15208;0.009497
3;100000;6622;97565;114507;18615;0.010435
3;100000;6622;97565;62987;10176;0.008150
3;100000;6622;97565;91316;14869;0.009388
3;100000;6622;97565;44607;7254;0.007121
3;100000;6622;97565;96358;15581;0.009547
3;100000;6622;97565;190872;31060;0.014454
3;100000;6622;97565;65183;10577;0.007970
3;100000;6622;97565;46532;7487;0.007020
3;100000;6622;97565;46880;7593;0.007331
3;100000;6622;97565;115393;18738;0.010161
3;100000;6622;97565;24191;3912;0.005833
3;100000;6622;97565;75738;12323;0.008700
3;100000;6622;97565;56231;9116;0.007574
3;100000;6622;97565;10691;1720;0.005143
3;100000;6622;97565;197937;32096;0.014496
3;100000;6622;97565;85137;13715;0.009669
3;100000;6622;97565;84807;13833;0.009091
3;100000;6622;97565;103189;16682;0.011892
3;100000;6622;97565;178059;28867;0.014018
3;100000;6622;97565;12971;2102;0.005423
3;100000;6622;97565;117702;19073;0.010753
3;100000;6622;97565;64178;10369;0.008082
3;100000;6622;97565;134762;21960;0.011638
3;100000;6622;97565;76167;12328;0.008909
3;100000;6622;97565;207936;33802;0.015236
3;100000;6622;97565;19656;3160;0.005927
3;100000;6622;97565;16914;2764;0.005818
3;100000;6622;97565;73076;11946;0.008441
3;100000;6622;97565;38048;6167;0.006810
3;100000;6622;97565;73512;11929;0.008452
3;100000;6622;97565;50396;8136;0.007222
