"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;18752;3020;18028
3;100000;6622;97565;126914;20634;31439
3;100000;6622;97565;7296;1182;14905
3;100000;6622;97565;8598;1383;17124
3;100000;6622;97565;22950;3733;17080
3;100000;6622;97565;49295;7978;21725
3;100000;6622;97565;38576;6238;20403
3;100000;6622;97565;56139;9134;21386
3;100000;6622;97565;46298;7504;25349
3;100000;6622;97565;123014;20033;31066
3;100000;6622;97565;52521;8506;22751
3;100000;6622;97565;58121;9431;22560
3;100000;6622;97565;32735;5302;31511
3;100000;6622;97565;197540;32051;45575
3;100000;6622;97565;55780;9032;21736
3;100000;6622;97565;391036;63612;55659
3;100000;6622;97565;82783;13398;63647
3;100000;6622;97565;30985;5030;20689
3;100000;6622;97565;34167;5507;19164
3;100000;6622;97565;193658;31411;68662
