"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;27879;4522;13348
3;100000;6622;97565;27879;4522;13212
3;100000;6622;97565;27879;4522;13269
3;100000;6622;97565;27879;4522;13363
3;100000;6622;97565;27879;4522;13247
3;100000;6622;97565;27879;4522;13240
3;100000;6622;97565;27879;4522;13355
3;100000;6622;97565;27879;4522;13487
3;100000;6622;97565;27879;4522;13155
3;100000;6622;97565;27879;4522;13210
3;100000;6622;97565;27879;4522;13604
3;100000;6622;97565;27879;4522;13180
3;100000;6622;97565;27879;4522;13629
3;100000;6622;97565;27879;4522;13666
3;100000;6622;97565;27879;4522;13705
3;100000;6622;97565;27879;4522;13627
3;100000;6622;97565;27879;4522;12664
3;100000;6622;97565;27879;4522;13068
3;100000;6622;97565;27879;4522;13192
3;100000;6622;97565;27879;4522;13380
