"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;161999;26362;32924
3;100000;6622;97565;88701;14331;19357
3;100000;6622;97565;139634;22589;25680
3;100000;6622;97565;7181;1163;10324
3;100000;6622;97565;8332;1362;11378
3;100000;6622;97565;85517;13922;18766
3;100000;6622;97565;101546;16537;20765
3;100000;6622;97565;11975;1941;11114
3;100000;6622;97565;23912;3944;12481
3;100000;6622;97565;205795;33460;32949
3;100000;6622;97565;148057;24079;25661
3;100000;6622;97565;12595;2010;11179
3;100000;6622;97565;126229;20492;23700
3;100000;6622;97565;34520;5572;13885
3;100000;6622;97565;45588;7347;14747
3;100000;6622;97565;128988;21003;24336
3;100000;6622;97565;146764;23779;27826
3;100000;6622;97565;109825;17778;21870
3;100000;6622;97565;24274;3940;27085
3;100000;6622;97565;157776;25695;61936
