"k";"m";"n";"count1";"count2";"count3";"time"
2;10000;6622;127717;97509;30676;14
2;10000;6622;127717;97509;30676;12
2;10000;6622;127717;97509;30676;11
2;10000;6622;127717;97509;30676;11
2;10000;6622;127717;97509;30676;10
2;10000;6622;97695;97509;23219;10
2;10000;6622;97695;97509;23219;10
2;10000;6622;97695;97509;23219;10
2;10000;6622;97695;97509;23219;19
2;10000;6622;97695;97509;23219;9
2;100000;6622;97695;97509;23219;9
2;100000;6622;97695;97509;23219;9
2;100000;6622;97695;97509;23219;9
2;100000;6622;97695;97509;23219;10
2;100000;6622;97695;97509;23219;18
2;100000;6622;97695;97509;23219;12
2;100000;6622;97695;97509;23219;12
2;100000;6622;97695;97509;23219;10
2;100000;6622;97695;97509;23219;10
2;100000;6622;97695;97509;23219;10
2;1000000;6622;97695;97509;23219;8
2;1000000;6622;97695;97509;23219;9
2;1000000;6622;97695;97509;23219;9
2;1000000;6622;97695;97509;23219;9
2;1000000;6622;97695;97509;23219;8
2;1000000;6622;97695;97509;23219;9
2;1000000;6622;97695;97509;23219;9
2;1000000;6622;97695;97509;23219;10
2;1000000;6622;97695;97509;23219;9
2;1000000;6622;97695;97509;23219;10
2;10000000;6622;97695;97509;23219;10
2;10000000;6622;97695;97509;23219;9
2;10000000;6622;97695;97509;23219;10
2;10000000;6622;97695;97509;23219;10
2;10000000;6622;97695;97509;23219;10
2;10000000;6622;97695;97509;23219;9
2;10000000;6622;97695;97509;23219;10
2;10000000;6622;97695;97509;23219;9
2;10000000;6622;97695;97509;23219;10
2;10000000;6622;97695;97509;23219;10
2;100000000;6622;97695;97509;23219;8
2;100000000;6622;97695;97509;23219;8
2;100000000;6622;97695;97509;23219;10
2;100000000;6622;97695;97509;23219;9
2;100000000;6622;97695;97509;23219;10
2;100000000;6622;97695;97509;23219;10
2;100000000;6622;97695;97509;23219;10
2;100000000;6622;97695;97509;23219;9
2;100000000;6622;97695;97509;23219;9
2;100000000;6622;97695;97509;23219;9
3;10000;6622;127653;97565;20682;12
3;10000;6622;127653;97565;20682;11
3;10000;6622;127653;97565;20682;13
3;10000;6622;127653;97565;20682;11
3;10000;6622;127653;97565;20682;12
3;10000;6622;127653;97565;20682;11
3;10000;6622;127653;97565;20682;11
3;10000;6622;127667;97565;20737;12
3;10000;6622;127667;97565;20737;11
3;10000;6622;127667;97565;20737;11
3;100000;6622;154697;97565;25129;13
3;100000;6622;154697;97565;25129;13
3;100000;6622;154697;97565;25129;13
3;100000;6622;154697;97565;25129;12
3;100000;6622;154697;97565;25129;13
3;100000;6622;154697;97565;25129;13
3;100000;6622;154697;97565;25129;13
3;100000;6622;154697;97565;25129;13
3;100000;6622;154697;97565;25129;13
3;100000;6622;154697;97565;25129;13
3;1000000;6622;154697;97565;25129;14
3;1000000;6622;154697;97565;25129;12
3;1000000;6622;154697;97565;25129;13
3;1000000;6622;154697;97565;25129;13
3;1000000;6622;154697;97565;25129;13
3;1000000;6622;154697;97565;25129;14
3;1000000;6622;154697;97565;25129;13
3;1000000;6622;154697;97565;25129;13
3;1000000;6622;154697;97565;25129;14
3;1000000;6622;154697;97565;25129;13
3;10000000;6622;154697;97565;25129;12
3;10000000;6622;154697;97565;25129;13
3;10000000;6622;154697;97565;25129;12
3;10000000;6622;154697;97565;25129;12
3;10000000;6622;154697;97565;25129;13
3;10000000;6622;154697;97565;25129;13
