"k";"m";"n";"count1";"count2";"count3";"time"
2;100;6622;97509;1266;267;13235
2;100;6622;97509;1272;300;13161
2;100;6622;97509;1273;269;9750
2;100;6622;97509;1267;248;10023
2;100;6622;97509;1277;215;10441
2;100;6622;97509;1276;253;10014
2;100;6622;97509;1268;269;10050
2;100;6622;97509;1269;273;10197
2;100;6622;97509;1281;247;10448
2;100;6622;97509;1266;262;10105
2;1000;6622;97509;12738;2999;11251
2;1000;6622;97509;12741;2973;11247
2;1000;6622;97509;12757;3149;10697
2;1000;6622;97509;12755;2901;24111
2;1000;6622;97509;12770;2934;16067
2;1000;6622;97509;12767;2961;10696
2;1000;6622;97509;12775;2984;11349
2;1000;6622;97509;12748;2997;11169
2;1000;6622;97509;9598;2178;10510
2;1000;6622;97509;12769;2897;11474
2;10000;6622;97509;8900;2109;11237
2;10000;6622;97509;8473;1991;10773
2;10000;6622;97509;122442;29022;23052
2;10000;6622;97509;85050;20241;18754
2;10000;6622;97509;23416;5629;12959
2;10000;6622;97509;77229;18458;17900
2;10000;6622;97509;127581;30202;22735
2;10000;6622;97509;127682;30008;23747
2;10000;6622;97509;17198;4099;11796
2;10000;6622;97509;26180;6059;12557
2;100000;6622;97509;7059;1638;10732
2;100000;6622;97509;169094;40175;27762
2;100000;6622;97509;31140;7519;13658
2;100000;6622;97509;175714;40693;28650
2;100000;6622;97509;128826;30387;23242
2;100000;6622;97509;13363;3212;11675
2;100000;6622;97509;22748;5313;12561
2;100000;6622;97509;126168;29752;23630
2;100000;6622;97509;54884;13270;15982
2;100000;6622;97509;40958;9826;14497
2;1000000;6622;97509;185737;43780;28890
2;1000000;6622;97509;54473;12698;16072
2;1000000;6622;97509;3297;693;10346
2;1000000;6622;97509;13791;3307;11755
2;1000000;6622;97509;11664;2622;11563
2;1000000;6622;97509;55743;13565;15772
2;1000000;6622;97509;31884;7486;12855
2;1000000;6622;97509;80760;19283;18446
2;1000000;6622;97509;111552;26534;21647
2;1000000;6622;97509;68389;15965;17896
3;100;6622;97565;1276;200;10111
3;100;6622;97565;1276;200;9649
3;100;6622;97565;1276;200;10536
3;100;6622;97565;1276;200;10115
3;100;6622;97565;1276;200;10102
3;100;6622;97565;1276;200;10305
3;100;6622;97565;1276;200;10177
3;100;6622;97565;1276;200;10845
3;100;6622;97565;1276;200;10294
3;100;6622;97565;1276;200;11040
3;1000;6622;97565;12755;2047;11425
3;1000;6622;97565;11969;1940;11378
3;1000;6622;97565;12775;2077;11092
3;1000;6622;97565;12743;2073;11540
3;1000;6622;97565;12752;2103;11516
3;1000;6622;97565;12303;1975;11389
3;1000;6622;97565;12734;2074;11392
3;1000;6622;97565;12771;2075;11552
3;1000;6622;97565;12745;2068;12685
3;1000;6622;97565;12759;2081;11618
3;10000;6622;97565;39497;6424;14954
3;10000;6622;97565;51372;8356;16586
3;10000;6622;97565;82280;13407;20039
3;10000;6622;97565;127653;20703;24756
3;10000;6622;97565;79794;12969;18991
3;10000;6622;97565;107854;17520;21572
3;10000;6622;97565;4560;743;10575
3;10000;6622;97565;52027;8425;15772
3;10000;6622;97565;127590;20774;23601
3;10000;6622;97565;5813;961;10464
3;100000;6622;97565;97741;15937;22306
3;100000;6622;97565;64740;10484;16543
3;100000;6622;97565;126344;20502;46189
3;100000;6622;97565;35516;5771;19502
3;100000;6622;97565;60916;9812;17105
3;100000;6622;97565;70977;11532;18403
3;100000;6622;97565;4047;651;10974
3;100000;6622;97565;20439;3343;12134
3;100000;6622;97565;69307;11206;17883
3;100000;6622;97565;104668;16968;22151
3;1000000;6622;97565;8255;1321;11267
3;1000000;6622;97565;201248;32596;32975
3;1000000;6622;97565;289283;47095;42014
3;1000000;6622;97565;125685;20430;25978
3;1000000;6622;97565;33177;5439;13880
3;1000000;6622;97565;285621;46435;46224
3;1000000;6622;97565;34544;5581;14049
