date;input;n;k;m;i;count1;count2;count3;count;usr;sys;time
2015-12-29 10:37:56.090567696+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;1;1387074;1666;1930;1390670;0.02;0;0.03
2015-12-29 10:37:56.156840760+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;2;1387074;1666;1930;1390670;0.02;0;0.03
2015-12-29 10:37:56.195519897+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;3;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.232932380+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;4;1387074;1666;1930;1390670;0.02;0;0.03
2015-12-29 10:37:56.271682916+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;5;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.309059036+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;6;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.346787480+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;7;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.383887781+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;8;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.420109418+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;9;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.456393678+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;10;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.492742297+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;11;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.528980152+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;12;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.565010044+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;13;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.601358338+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;14;1387074;1666;1930;1390670;0.02;0;0.02
