"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;26984;4392;0.004444
3;100000;6622;97565;104991;17043;0.006844
3;100000;6622;97565;87494;14227;0.006476
3;100000;6622;97565;18675;2992;0.004318
3;100000;6622;97565;48837;7956;0.005235
3;100000;6622;97565;38411;6259;0.005164
3;100000;6622;97565;99691;16181;0.006640
3;100000;6622;97565;195638;31687;0.009904
3;100000;6622;97565;65519;10645;0.005949
3;100000;6622;97565;191063;31053;0.009313
3;100000;6622;97565;23257;3752;0.004434
3;100000;6622;97565;65321;10583;0.005266
3;100000;6622;97565;89687;14597;0.006045
3;100000;6622;97565;97552;15949;0.006518
3;100000;6622;97565;193917;31444;0.010108
3;100000;6622;97565;108109;17579;0.006713
3;100000;6622;97565;44573;7168;0.004871
3;100000;6622;97565;107435;17446;0.007006
3;100000;6622;97565;121399;19682;0.007410
3;100000;6622;97565;13507;2177;0.004084
3;100000;6622;97565;15797;2543;0.013978
3;100000;6622;97565;155802;25341;0.017309
3;100000;6622;97565;116973;18977;0.007431
3;100000;6622;97565;87695;14333;0.006224
3;100000;6622;97565;4428;712;0.003631
3;100000;6622;97565;83360;13572;0.006542
3;100000;6622;97565;377208;61252;0.015868
3;100000;6622;97565;19857;3199;0.003968
3;100000;6622;97565;8520;1359;0.004001
3;100000;6622;97565;9566;1557;0.003641
3;100000;6622;97565;154132;24950;0.008844
3;100000;6622;97565;74650;12059;0.005987
3;100000;6622;97565;69852;11336;0.005870
3;100000;6622;97565;133525;21795;0.007805
3;100000;6622;97565;149150;24295;0.008401
3;100000;6622;97565;22891;3713;0.004183
3;100000;6622;97565;21378;3481;0.004277
3;100000;6622;97565;127402;20703;0.007923
3;100000;6622;97565;62264;10147;0.005327
3;100000;6622;97565;79872;12900;0.006130
3;100000;6622;97565;37430;6043;0.005157
3;100000;6622;97565;24049;3895;0.004529
3;100000;6622;97565;32168;5238;0.004350
3;100000;6622;97565;21359;3464;0.004264
3;100000;6622;97565;42094;6852;0.004803
3;100000;6622;97565;15509;2526;0.003992
3;100000;6622;97565;54280;8753;0.012791
3;100000;6622;97565;17037;2749;0.004176
3;100000;6622;97565;61403;9940;0.005481
3;100000;6622;97565;28366;4627;0.004517
3;100000;6622;97565;106352;17297;0.006712
3;100000;6622;97565;10890;1750;0.003705
3;100000;6622;97565;49486;8096;0.005293
3;100000;6622;97565;46920;7668;0.004823
3;100000;6622;97565;45736;7402;0.004987
3;100000;6622;97565;73440;11866;0.005877
3;100000;6622;97565;139679;22761;0.008109
3;100000;6622;97565;43527;7024;0.005015
3;100000;6622;97565;4621;740;0.003744
3;100000;6622;97565;250926;40614;0.011661
3;100000;6622;97565;44859;7276;0.004952
3;100000;6622;97565;63989;10402;0.005577
3;100000;6622;97565;37342;6058;0.004858
3;100000;6622;97565;216772;35199;0.010679
3;100000;6622;97565;89911;14590;0.006634
3;100000;6622;97565;78271;12690;0.006308
3;100000;6622;97565;77417;12545;0.006105
3;100000;6622;97565;21064;3391;0.004111
3;100000;6622;97565;219534;35770;0.010948
3;100000;6622;97565;16878;2730;0.004360
3;100000;6622;97565;60079;9768;0.005650
3;100000;6622;97565;190387;30915;0.010163
3;100000;6622;97565;316521;51497;0.013782
3;100000;6622;97565;446533;72494;0.018762
3;100000;6622;97565;45045;7276;0.005005
3;100000;6622;97565;42046;6771;0.004949
3;100000;6622;97565;5568;880;0.003954
3;100000;6622;97565;91256;14912;0.006817
3;100000;6622;97565;47362;7704;0.004775
3;100000;6622;97565;26160;4232;0.004562
3;100000;6622;97565;33272;5386;0.004706
3;100000;6622;97565;65469;10610;0.005628
3;100000;6622;97565;31996;5150;0.004586
3;100000;6622;97565;36906;5962;0.004940
3;100000;6622;97565;54377;8792;0.005329
3;100000;6622;97565;168684;27420;0.009111
3;100000;6622;97565;61955;9990;0.005499
3;100000;6622;97565;233278;37901;0.011110
3;100000;6622;97565;247876;40313;0.011388
3;100000;6622;97565;243257;39461;0.010959
3;100000;6622;97565;31584;5132;0.004535
3;100000;6622;97565;93637;15211;0.006549
3;100000;6622;97565;125048;20326;0.007628
3;100000;6622;97565;205864;33455;0.010369
3;100000;6622;97565;28863;4665;0.004641
3;100000;6622;97565;27695;4487;0.004402
3;100000;6622;97565;23466;3809;0.004666
3;100000;6622;97565;90470;14665;0.006316
3;100000;6622;97565;25408;4120;0.004396
3;100000;6622;97565;7683;1234;0.004012
