"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;63691;10357;0.010883
3;100000;6622;97565;25775;4174;0.008470
3;100000;6622;97565;5568;880;0.007440
3;100000;6622;97565;33674;5499;0.008831
3;100000;6622;97565;175146;28512;0.018752
3;100000;6622;97565;167241;27201;0.017301
3;100000;6622;97565;134583;21805;0.016098
3;100000;6622;97565;54580;8833;0.011020
3;100000;6622;97565;179673;29167;0.018826
3;100000;6622;97565;22447;3646;0.008827
3;100000;6622;97565;46554;7567;0.010462
3;100000;6622;97565;5568;880;0.007019
3;100000;6622;97565;259331;42074;0.023382
3;100000;6622;97565;16111;2591;0.008130
3;100000;6622;97565;15738;2558;0.008391
3;100000;6622;97565;43051;6975;0.009386
3;100000;6622;97565;60997;9918;0.010457
3;100000;6622;97565;61014;9932;0.010695
3;100000;6622;97565;92094;14996;0.012701
3;100000;6622;97565;14544;2374;0.007837
3;100000;6622;97565;87025;14136;0.012745
3;100000;6622;97565;42809;6910;0.044367
3;100000;6622;97565;85255;13887;0.050890
3;100000;6622;97565;99529;16213;0.013514
3;100000;6622;97565;61612;10016;0.011346
3;100000;6622;97565;172678;27989;0.018777
3;100000;6622;97565;47371;7706;0.010615
3;100000;6622;97565;24260;3955;0.008881
3;100000;6622;97565;180537;29260;0.018340
3;100000;6622;97565;172678;27989;0.018881
3;100000;6622;97565;101185;16386;0.023535
3;100000;6622;97565;13187;2126;0.007937
3;100000;6622;97565;64605;10418;0.060251
3;100000;6622;97565;65721;10660;0.049336
3;100000;6622;97565;66961;10947;0.011978
3;100000;6622;97565;226878;36807;0.021859
3;100000;6622;97565;240471;39045;0.096986
3;100000;6622;97565;237198;38510;0.093933
3;100000;6622;97565;56312;9070;0.059002
3;100000;6622;97565;88729;14509;0.013695
3;100000;6622;97565;108664;17588;0.014779
3;100000;6622;97565;609675;98977;0.083090
3;100000;6622;97565;92313;15061;0.013318
3;100000;6622;97565;9689;1556;0.008064
3;100000;6622;97565;184481;29983;0.019995
3;100000;6622;97565;78744;12841;0.045471
3;100000;6622;97565;146002;23785;0.022000
3;100000;6622;97565;305800;49635;0.026835
3;100000;6622;97565;33583;5468;0.014129
3;100000;6622;97565;8812;1414;0.053964
3;100000;6622;97565;13872;2232;0.007618
3;100000;6622;97565;259925;42232;0.023656
3;100000;6622;97565;49757;8019;0.009909
3;100000;6622;97565;205266;33434;0.021790
3;100000;6622;97565;441997;71820;0.052348
3;100000;6622;97565;143238;23160;0.037812
3;100000;6622;97565;114032;18525;0.031844
3;100000;6622;97565;141708;22977;0.016943
3;100000;6622;97565;64718;10478;0.011060
3;100000;6622;97565;127686;20748;0.044640
3;100000;6622;97565;10501;1681;0.019689
3;100000;6622;97565;20874;3376;0.007974
3;100000;6622;97565;9800;1567;0.007373
3;100000;6622;97565;71834;11694;0.011326
3;100000;6622;97565;86187;13888;0.038999
3;100000;6622;97565;93413;15161;0.013030
3;100000;6622;97565;57593;9308;0.011200
3;100000;6622;97565;78484;12767;0.012380
3;100000;6622;97565;29434;4774;0.021330
3;100000;6622;97565;115323;18683;0.013883
3;100000;6622;97565;139166;22635;0.017364
3;100000;6622;97565;38368;6229;0.009444
3;100000;6622;97565;279498;45464;0.025683
3;100000;6622;97565;53535;8771;0.009947
3;100000;6622;97565;26293;4292;0.008763
3;100000;6622;97565;108282;17723;0.014528
3;100000;6622;97565;195446;31621;0.020735
3;100000;6622;97565;5399;863;0.007765
3;100000;6622;97565;81404;13205;0.012550
3;100000;6622;97565;56797;9150;0.010127
3;100000;6622;97565;229949;37263;0.097435
3;100000;6622;97565;10931;1739;0.069188
3;100000;6622;97565;13613;2200;0.007552
3;100000;6622;97565;221440;36055;0.024233
3;100000;6622;97565;7006;1115;0.007123
3;100000;6622;97565;57998;9342;0.049688
3;100000;6622;97565;394744;64026;0.079898
3;100000;6622;97565;51552;8358;0.010563
3;100000;6622;97565;117095;18905;0.015481
3;100000;6622;97565;80215;13021;0.015708
3;100000;6622;97565;89302;14552;0.012442
3;100000;6622;97565;95306;15534;0.014080
3;100000;6622;97565;351664;57192;0.030593
3;100000;6622;97565;87793;14423;0.055948
3;100000;6622;97565;33332;5393;0.037501
3;100000;6622;97565;41000;6674;0.027454
3;100000;6622;97565;356506;57964;0.076386
3;100000;6622;97565;149216;24233;0.065343
3;100000;6622;97565;67171;10916;0.024030
3;100000;6622;97565;391523;63550;0.035753
