"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;38771;6252;0.008763
3;100000;6622;97565;9880;1568;0.005060
3;100000;6622;97565;147413;23989;0.012602
3;100000;6622;97565;28367;4529;0.005952
3;100000;6622;97565;20493;3295;0.005527
3;100000;6622;97565;512988;83378;0.030943
3;100000;6622;97565;55476;8972;0.007490
3;100000;6622;97565;103367;16770;0.009634
3;100000;6622;97565;45132;7333;0.006935
3;100000;6622;97565;74390;12083;0.009212
3;100000;6622;97565;9252;1500;0.005018
3;100000;6622;97565;108085;17613;0.010351
3;100000;6622;97565;10262;1671;0.005122
3;100000;6622;97565;48966;8002;0.007394
3;100000;6622;97565;63206;10213;0.007917
3;100000;6622;97565;22707;3694;0.005992
3;100000;6622;97565;51245;8398;0.007276
3;100000;6622;97565;295128;47969;0.019809
3;100000;6622;97565;15297;2455;0.005276
3;100000;6622;97565;49183;7963;0.007165
3;100000;6622;97565;141552;22989;0.011729
3;100000;6622;97565;5174;838;0.005458
3;100000;6622;97565;67561;10979;0.008416
3;100000;6622;97565;52209;8460;0.007152
3;100000;6622;97565;125219;20393;0.010544
3;100000;6622;97565;64996;10529;0.007896
3;100000;6622;97565;5568;880;0.005551
3;100000;6622;97565;11015;1791;0.005368
3;100000;6622;97565;33295;5402;0.006307
3;100000;6622;97565;38496;6224;0.006897
3;100000;6622;97565;33886;5492;0.006695
3;100000;6622;97565;14106;2272;0.006146
3;100000;6622;97565;33464;5379;0.006386
3;100000;6622;97565;37600;6101;0.006400
3;100000;6622;97565;108019;17503;0.010191
3;100000;6622;97565;44019;7124;0.007242
3;100000;6622;97565;25245;4072;0.005722
3;100000;6622;97565;168926;27499;0.013142
3;100000;6622;97565;134946;21908;0.012121
3;100000;6622;97565;66317;10862;0.008270
3;100000;6622;97565;529490;86042;0.031609
3;100000;6622;97565;297824;48322;0.019422
3;100000;6622;97565;56161;9103;0.007165
3;100000;6622;97565;13159;2126;0.005314
3;100000;6622;97565;31488;5123;0.006281
3;100000;6622;97565;96864;15698;0.009814
3;100000;6622;97565;451287;73165;0.028326
3;100000;6622;97565;147615;24075;0.012104
3;100000;6622;97565;93164;15121;0.009431
3;100000;6622;97565;128606;20873;0.010962
3;100000;6622;97565;5568;880;0.004862
3;100000;6622;97565;103036;16766;0.009664
3;100000;6622;97565;131646;21330;0.011410
3;100000;6622;97565;14937;2396;0.005085
3;100000;6622;97565;97400;15816;0.010055
3;100000;6622;97565;43556;7042;0.006887
3;100000;6622;97565;52663;8539;0.006941
3;100000;6622;97565;359148;58353;0.023234
3;100000;6622;97565;217489;35337;0.016257
3;100000;6622;97565;42699;6929;0.006536
3;100000;6622;97565;81651;13212;0.008379
3;100000;6622;97565;96410;15642;0.009625
3;100000;6622;97565;86632;14111;0.009301
3;100000;6622;97565;8646;1380;0.005034
3;100000;6622;97565;39380;6357;0.006452
3;100000;6622;97565;10809;1740;0.005389
3;100000;6622;97565;58260;9419;0.007854
3;100000;6622;97565;30433;4940;0.006336
3;100000;6622;97565;7646;1214;0.004976
3;100000;6622;97565;342443;55604;0.022054
3;100000;6622;97565;26330;4253;0.005814
3;100000;6622;97565;214454;34918;0.015813
3;100000;6622;97565;37975;6193;0.006554
3;100000;6622;97565;19650;3187;0.005664
3;100000;6622;97565;196035;31886;0.014318
3;100000;6622;97565;6762;1090;0.004998
3;100000;6622;97565;164912;26651;0.013365
3;100000;6622;97565;35662;5741;0.006640
3;100000;6622;97565;45286;7356;0.006837
3;100000;6622;97565;56774;9180;0.007541
3;100000;6622;97565;57995;9413;0.008029
3;100000;6622;97565;71134;11415;0.008454
3;100000;6622;97565;28509;4667;0.005854
3;100000;6622;97565;82509;13431;0.008856
3;100000;6622;97565;96107;15622;0.009294
3;100000;6622;97565;46443;7509;0.007128
3;100000;6622;97565;38010;6189;0.006657
3;100000;6622;97565;13391;2142;0.005375
3;100000;6622;97565;89634;14584;0.009274
3;100000;6622;97565;5568;880;0.005353
3;100000;6622;97565;264898;43000;0.018419
3;100000;6622;97565;137917;22299;0.011563
3;100000;6622;97565;61558;9951;0.007641
3;100000;6622;97565;82093;13350;0.008539
3;100000;6622;97565;14220;2275;0.005109
3;100000;6622;97565;99954;16131;0.009900
3;100000;6622;97565;182609;29692;0.013999
3;100000;6622;97565;113908;18517;0.010526
3;100000;6622;97565;258719;41905;0.017863
3;100000;6622;97565;9192;1477;0.005332
