"k";"m";"n";"count1";"count2";"count3";"time"
2;10000;6622;22618;97509;5678;6
2;10000;6622;21751;97509;5123;6
2;10000;6622;85882;97509;20137;9
2;10000;6622;127571;97509;29950;11
2;10000;6622;33321;97509;7788;7
2;10000;6622;45733;97509;10815;7
2;10000;6622;127644;97509;30936;11
2;10000;6622;10818;97509;2530;6
2;10000;6622;13687;97509;3194;6
2;10000;6622;64396;97509;15141;8
2;100000;6622;82136;97509;19748;9
2;100000;6622;6565;97509;1478;5
2;100000;6622;49309;97509;11457;7
2;100000;6622;46166;97509;11006;8
2;100000;6622;129958;97509;30760;12
2;100000;6622;10743;97509;2462;6
2;100000;6622;502039;97509;118998;29
2;100000;6622;123100;97509;28528;10
2;100000;6622;213158;97509;50071;15
2;100000;6622;32648;97509;7647;6
2;1000000;6622;88426;97509;20642;9
2;1000000;6622;51348;97509;11887;8
2;1000000;6622;6985;97509;1604;6
2;1000000;6622;896750;97509;210466;48
2;1000000;6622;221809;97509;52153;16
2;1000000;6622;83063;97509;20131;9
2;1000000;6622;32408;97509;7574;7
2;1000000;6622;71768;97509;16982;8
2;1000000;6622;167173;97509;39776;13
2;1000000;6622;112193;97509;26385;10
2;10000000;6622;32353;97509;7517;7
2;10000000;6622;288385;97509;68512;19
2;10000000;6622;35492;97509;8365;6
2;10000000;6622;28262;97509;6444;7
2;10000000;6622;7840;97509;1861;5
2;10000000;6622;140368;97509;33563;11
2;10000000;6622;61173;97509;14279;7
2;10000000;6622;39584;97509;9297;7
2;10000000;6622;88263;97509;21012;9
2;10000000;6622;38048;97509;8891;6
2;100000000;6622;39932;97509;9495;7
2;100000000;6622;216024;97509;51597;15
2;100000000;6622;150579;97509;36484;12
2;100000000;6622;109084;97509;26320;11
2;100000000;6622;35684;97509;8476;7
2;100000000;6622;3810;97509;936;5
2;100000000;6622;6188;97509;1392;5
2;100000000;6622;98866;97509;23416;10
2;100000000;6622;29530;97509;6844;7
2;100000000;6622;196494;97509;46121;15
3;10000;6622;127596;97565;20598;11
3;10000;6622;8166;97565;1306;6
3;10000;6622;127588;97565;20636;11
3;10000;6622;18640;97565;3019;6
3;10000;6622;18871;97565;3031;7
3;10000;6622;30433;97565;4925;6
3;10000;6622;72658;97565;11802;9
3;10000;6622;127632;97565;20760;12
3;10000;6622;127641;97565;20687;11
3;10000;6622;45676;97565;7446;7
3;100000;6622;15754;97565;2542;6
3;100000;6622;10651;97565;1736;6
3;100000;6622;28171;97565;4585;6
3;100000;6622;89782;97565;14472;10
3;100000;6622;95957;97565;15569;10
3;100000;6622;109171;97565;17721;10
3;100000;6622;41099;97565;6690;7
3;100000;6622;76517;97565;12441;9
3;100000;6622;139816;97565;22669;12
3;100000;6622;5568;97565;880;6
3;1000000;6622;98719;97565;16021;10
3;1000000;6622;77349;97565;12602;9
3;1000000;6622;25930;97565;4193;7
3;1000000;6622;141480;97565;22908;12
3;1000000;6622;74379;97565;12058;9
3;1000000;6622;61049;97565;9940;9
3;1000000;6622;30201;97565;4929;6
3;1000000;6622;114736;97565;18629;11
3;1000000;6622;14375;97565;2317;5
3;1000000;6622;34487;97565;5541;6
3;10000000;6622;19414;97565;3148;6
3;10000000;6622;62057;97565;10129;8
3;10000000;6622;87429;97565;14200;9
3;10000000;6622;31104;97565;5059;7
3;10000000;6622;34232;97565;5527;7
3;10000000;6622;208226;97565;33831;16
3;10000000;6622;106483;97565;17302;9
3;10000000;6622;5568;97565;880;6
3;10000000;6622;36733;97565;5932;8
3;10000000;6622;42129;97565;6815;8
3;100000000;6622;124305;97565;20145;12
3;100000000;6622;160112;97565;25931;13
3;100000000;6622;105244;97565;16968;11
3;100000000;6622;7815;97565;1253;6
3;100000000;6622;10722;97565;1747;7
3;100000000;6622;143266;97565;23221;12
3;100000000;6622;77235;97565;12497;9
3;100000000;6622;235605;97565;38281;18
3;100000000;6622;433630;97565;70545;28
3;100000000;6622;75360;97565;12259;8
4;10000;6622;65776;97744;10361;9
4;10000;6622;127676;97744;20110;12
4;10000;6622;114311;97744;18020;12
4;10000;6622;88863;97744;14041;10
4;10000;6622;67260;97744;10590;10
4;10000;6622;127731;97744;20119;13
4;10000;6622;127658;97744;20091;13
4;10000;6622;75065;97744;11830;9
4;10000;6622;62703;97744;9886;8
4;10000;6622;109645;97744;17301;11
4;100000;6622;76952;97744;12119;10
4;100000;6622;546015;97744;86132;38
4;100000;6622;50546;97744;7951;8
4;100000;6622;228543;97744;35968;20
4;100000;6622;57856;97744;9124;8
4;100000;6622;59973;97744;9439;8
4;100000;6622;73653;97744;11590;9
4;100000;6622;132948;97744;20966;13
4;100000;6622;93064;97744;14658;11
4;100000;6622;93250;97744;14676;10
4;1000000;6622;59516;97744;9365;9
4;1000000;6622;14321;97744;2255;6
4;1000000;6622;24335;97744;3839;7
4;1000000;6622;14321;97744;2255;6
4;1000000;6622;131750;97744;20746;12
4;1000000;6622;48530;97744;7652;8
4;1000000;6622;43651;97744;6887;7
4;1000000;6622;37217;97744;5877;7
4;1000000;6622;65236;97744;10276;8
4;1000000;6622;47798;97744;7523;8
4;10000000;6622;85011;97744;13372;10
4;10000000;6622;100285;97744;15822;12
4;10000000;6622;66692;97744;10507;9
4;10000000;6622;38774;97744;6108;8
4;10000000;6622;83684;97744;13194;10
4;10000000;6622;85184;97744;13449;11
4;10000000;6622;64084;97744;10107;8
4;10000000;6622;82395;97744;12968;10
4;10000000;6622;14321;97744;2255;5
4;10000000;6622;49888;97744;7880;8
4;100000000;6622;94939;97744;14963;11
4;100000000;6622;88032;97744;13891;10
4;100000000;6622;39637;97744;6258;8
4;100000000;6622;169990;97744;26761;15
4;100000000;6622;54371;97744;8570;8
4;100000000;6622;177432;97744;27972;16
4;100000000;6622;154454;97744;24304;14
4;100000000;6622;33048;97744;5204;8
4;100000000;6622;212518;97744;33492;18
4;100000000;6622;59311;97744;9349;9
5;10000;6622;19530;97774;3064;6
5;10000;6622;19530;97774;3064;7
5;10000;6622;126719;97774;19884;14
5;10000;6622;105621;97774;16570;12
5;10000;6622;92405;97774;14502;12
5;10000;6622;50858;97774;7977;7
5;10000;6622;19530;97774;3064;6
5;10000;6622;46311;97774;7266;8
5;10000;6622;19530;97774;3064;7
5;10000;6622;127657;97774;20026;14
5;100000;6622;171723;97774;26940;17
5;100000;6622;19530;97774;3064;6
5;100000;6622;19530;97774;3064;6
5;100000;6622;85246;97774;13377;11
5;100000;6622;55060;97774;8642;9
5;100000;6622;19530;97774;3064;7
5;100000;6622;153395;97774;24068;14
5;100000;6622;141151;97774;22148;15
5;100000;6622;181793;97774;28530;17
5;100000;6622;19530;97774;3064;6
5;1000000;6622;19530;97774;3064;7
5;1000000;6622;81347;97774;12764;10
5;1000000;6622;83348;97774;13078;9
5;1000000;6622;74293;97774;11657;10
5;1000000;6622;50858;97774;7977;8
5;1000000;6622;115534;97774;18126;12
5;1000000;6622;78522;97774;12320;11
5;1000000;6622;226273;97774;35511;20
5;1000000;6622;52541;97774;8243;8
5;1000000;6622;19530;97774;3064;6
5;10000000;6622;170334;97774;26728;16
5;10000000;6622;19530;97774;3064;6
5;10000000;6622;156580;97774;24565;15
5;10000000;6622;19530;97774;3064;6
5;10000000;6622;111496;97774;17490;12
5;10000000;6622;81643;97774;12810;10
5;10000000;6622;150688;97774;23646;15
5;10000000;6622;79038;97774;12402;10
5;10000000;6622;77096;97774;12099;10
5;10000000;6622;50858;97774;7977;9
5;100000000;6622;112629;97774;17670;13
5;100000000;6622;19530;97774;3064;6
5;100000000;6622;19530;97774;3064;6
5;100000000;6622;81643;97774;12810;11
5;100000000;6622;129550;97774;20337;14
5;100000000;6622;51056;97774;8011;8
5;100000000;6622;51056;97774;8011;8
5;100000000;6622;19530;97774;3064;7
5;100000000;6622;47512;97774;7455;8
5;100000000;6622;52482;97774;8232;8
6;10000;6622;84456;97768;13236;11
6;10000;6622;80452;97768;12607;10
6;10000;6622;88460;97768;13865;13
6;10000;6622;84456;97768;13236;11
6;10000;6622;80452;97768;12607;10
6;10000;6622;80452;97768;12607;25
6;10000;6622;88460;97768;13865;11
6;10000;6622;100472;97768;15752;12
6;10000;6622;104476;97768;16381;13
6;10000;6622;80452;97768;12607;11
6;100000;6622;80452;97768;12607;11
6;100000;6622;88460;97768;13865;10
6;100000;6622;84456;97768;13236;12
6;100000;6622;80452;97768;12607;11
6;100000;6622;84456;97768;13236;12
6;100000;6622;80452;97768;12607;11
6;100000;6622;88460;97768;13865;11
6;100000;6622;84456;97768;13236;11
6;100000;6622;80452;97768;12607;10
6;100000;6622;80452;97768;12607;11
6;1000000;6622;84456;97768;13236;11
6;1000000;6622;84456;97768;13236;11
6;1000000;6622;80452;97768;12607;10
6;1000000;6622;84456;97768;13236;12
6;1000000;6622;80452;97768;12607;12
6;1000000;6622;80452;97768;12607;11
6;1000000;6622;80452;97768;12607;11
6;1000000;6622;80452;97768;12607;10
6;1000000;6622;80452;97768;12607;11
6;1000000;6622;80452;97768;12607;11
6;10000000;6622;80452;97768;12607;10
6;10000000;6622;84456;97768;13236;12
6;10000000;6622;84456;97768;13236;11
6;10000000;6622;80452;97768;12607;11
6;10000000;6622;80452;97768;12607;11
6;10000000;6622;80452;97768;12607;10
6;10000000;6622;84456;97768;13236;12
6;10000000;6622;84456;97768;13236;11
6;10000000;6622;92464;97768;14494;11
6;10000000;6622;84456;97768;13236;11
6;100000000;6622;80452;97768;12607;12
6;100000000;6622;84456;97768;13236;12
6;100000000;6622;88460;97768;13865;11
6;100000000;6622;80452;97768;12607;12
6;100000000;6622;80452;97768;12607;11
6;100000000;6622;80452;97768;12607;11
6;100000000;6622;88460;97768;13865;11
6;100000000;6622;80452;97768;12607;10
6;100000000;6622;80452;97768;12607;11
6;100000000;6622;80452;97768;12607;11
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;12
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;12
7;10000;6622;84443;97768;13232;12
7;10000;6622;84443;97768;13232;12
7;10000;6622;84443;97768;13232;12
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;11
7;100000;6622;84443;97768;13232;12
7;100000;6622;84443;97768;13232;12
7;100000;6622;84443;97768;13232;12
7;100000;6622;84443;97768;13232;12
7;100000;6622;84443;97768;13232;11
7;100000;6622;84443;97768;13232;11
7;100000;6622;84443;97768;13232;11
7;100000;6622;84443;97768;13232;13
7;100000;6622;84443;97768;13232;12
7;100000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;13
7;1000000;6622;84443;97768;13232;12
7;1000000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;12
7;1000000;6622;84443;97768;13232;12
7;1000000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;12
7;1000000;6622;84443;97768;13232;12
7;10000000;6622;84443;97768;13232;12
7;10000000;6622;84443;97768;13232;12
7;10000000;6622;84443;97768;13232;11
7;10000000;6622;84443;97768;13232;11
7;10000000;6622;84443;97768;13232;13
7;10000000;6622;84443;97768;13232;11
7;10000000;6622;84443;97768;13232;12
7;10000000;6622;84443;97768;13232;12
7;10000000;6622;84443;97768;13232;11
7;10000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;11
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
2;10000;26046;147284;439917;50824;27
2;10000;26046;85674;439917;27423;24
2;10000;26046;147329;439917;50072;27
2;10000;26046;131527;439917;45166;28
2;10000;26046;147303;439917;48863;28
2;10000;26046;147387;439917;48211;28
2;10000;26046;76312;439917;26382;27
