"algo" "precision"
"mineA" 98.31
"mineA" 98.315
"mineA" 96.371
"mineA" 93.117
"mineA" 96.6
"mineA" 98.176
"mineA" 98.632
"mineA" 98.488
"mineA" 97.87
"mineA" 98.625
"mineA" 97.503
"mineA" 98.059
"mineA" 92.012
"mineA" 98.233
"mineA" 97.653
"mineA" 95.538
"mineA" 93.959
"mineA" 96.837
"mineA" 97.961
"mineA" 98.557
"mineB" 96.991
"mineB" 97.999
"mineB" 94.499
"mineB" 95.989
"mineB" 97.509
"mineB" 94.987
"mineB" 96.511
"mineB" 94.015
"mineB" 96.019
"mineB" 97.996
"mineB" 96.01
"mineB" 99.496
"mineB" 97.492
"mineB" 96.492
"mineB" 96.506
"mineB" 93.488
"mineB" 96.526
"mineB" 97.512
"mineB" 97.006
"mineB" 96.994
"theirs" 94.984
"theirs" 93.745
"theirs" 96.255
"theirs" 90.001
"theirs" 95.615
"theirs" 92.514
"theirs" 93.748
"theirs" 94.384
"theirs" 96.256
"theirs" 94.994
"theirs" 95.591
"theirs" 94.369
"theirs" 97.51
"theirs" 97.502
"theirs" 94.38
"theirs" 97.487
"theirs" 94.385
"theirs" 94.998
"theirs" 96.244
"theirs" 94.372
